L,l,Delta,Rho,Kappa
5,3,0.210000,0.961902,0.202000
5,3,0.220000,1.031818,0.227000
5,3,0.230000,1.027536,0.236333
5,3,0.240000,1.047222,0.251333
5,3,0.250000,1.084000,0.271000
5,3,0.260000,1.070513,0.278333
5,3,0.270000,1.114815,0.301000
5,3,0.280000,1.122619,0.314333
5,3,0.290000,1.151724,0.334000
5,3,0.300000,1.160000,0.348000
5,3,0.310000,1.153763,0.357667
5,3,0.320000,1.205208,0.385667
5,3,0.330000,1.187879,0.392000
5,3,0.340000,1.229412,0.418000
5,3,0.350000,1.245714,0.436000
5,3,0.360000,1.263889,0.455000
5,3,0.370000,1.273874,0.471333
5,3,0.380000,1.296491,0.492667
5,3,0.390000,1.300855,0.507333
5,3,0.400000,1.315833,0.526333
5,3,0.410000,1.330081,0.545333
5,3,0.420000,1.347619,0.566000
5,3,0.430000,1.358915,0.584333
5,3,0.440000,1.373485,0.604333
5,3,0.450000,1.384444,0.623000
5,3,0.460000,1.410870,0.649000
5,3,0.470000,1.419149,0.667000
5,3,0.480000,1.426389,0.684667
5,3,0.490000,1.433334,0.702334
5,3,0.500000,1.454000,0.727000
5,3,0.510000,1.477126,0.753334
5,3,0.520000,1.488472,0.774005
5,3,0.530000,1.489339,0.789350
5,3,0.540000,1.517411,0.819402
5,3,0.550000,1.527430,0.840087
5,3,0.560000,1.528341,0.855871
5,3,0.570000,1.539146,0.877313
5,3,0.580000,1.567364,0.909071
5,3,0.590000,1.579075,0.931654
5,3,0.600000,1.590912,0.954547
5,3,0.610000,1.599177,0.975498
5,3,0.620000,1.601923,0.993192
5,4,0.030000,0.322961,0.009689
5,4,0.040000,0.244894,0.009796
5,4,0.050000,0.280421,0.014021
5,4,0.060000,0.339246,0.020355
5,4,0.070000,0.399242,0.027947
5,4,0.080000,0.438682,0.035095
5,4,0.090000,0.466840,0.042016
5,4,0.100000,0.507366,0.050737
5,4,0.110000,0.578180,0.063600
5,4,0.120000,0.575458,0.069055
5,4,0.130000,0.673894,0.087606
5,4,0.140000,0.617468,0.086446
5,4,0.150000,0.670208,0.100531
5,4,0.160000,0.733074,0.117292
5,4,0.170000,0.766551,0.130314
5,4,0.180000,0.798074,0.143653
5,4,0.190000,0.789464,0.149998
5,4,0.200000,0.843326,0.168665
5,4,0.210000,0.846000,0.177660
5,4,0.220000,0.868175,0.190999
5,4,0.230000,0.898549,0.206666
5,4,0.240000,0.926388,0.222333
5,4,0.250000,0.935998,0.233999
5,4,0.260000,0.969231,0.252000
5,4,0.270000,0.981481,0.265000
5,4,0.280000,0.995238,0.278667
