EPS,MSE,T
0.289,0.509959272,0.492474914
0.2895,0.51047402,0.491533279
0.29,0.510988342,0.491062462
0.2905,0.511502171,0.490120827
0.291,0.512015546,0.48965001
0.2915,0.51252846,0.488708375
0.292,0.513040892,0.488237558
0.2925,0.513552898,0.487295923
0.293,0.514064391,0.486825106
0.2935,0.514575463,0.486354289
0.294,0.515086052,0.485412654
0.2945,0.51559619,0.484941837
0.295,0.516105884,0.484000202
0.2955,0.516615091,0.483529385
0.296,0.517123882,0.483058568
0.2965,0.517632178,0.482116933
0.297,0.518140043,0.481646116
0.2975,0.51864746,0.480704481
0.298,0.519154402,0.480233664
0.2985,0.519660931,0.479762846
0.299,0.520166969,0.478821212
0.2995,0.520672581,0.478350394
0.3,0.521177754,0.47740876
0.3005,0.521682452,0.476937942
0.301,0.52218674,0.476467125
0.3015,0.522690554,0.475525491
0.302,0.523193934,0.475054673
0.3025,0.523696897,0.474113039
0.303,0.524199371,0.473642221
0.3035,0.524701439,0.473171404
0.304,0.525203063,0.472229769
0.3045,0.52570423,0.471758952
0.305,0.526204993,0.471288135
0.3055,0.526705289,0.4703465
0.306,0.527205156,0.469875683
0.3065,0.527704621,0.469404865
0.307,0.5282036,0.468463231
0.3075,0.528702174,0.467992413
0.308,0.529200332,0.467050779
0.3085,0.529698021,0.466579962
0.309,0.530195309,0.466109144
0.3095,0.53069217,0.46516751
0.31,0.531188577,0.464696692
0.3105,0.531684586,0.464225875
0.311,0.532180161,0.46328424
0.3115,0.532675294,0.462813423
0.312,0.53317003,0.462342606
0.3125,0.533664331,0.461400971
0.313,0.534158195,0.460930154
0.3135,0.534651665,0.460459336
0.314,0.535144703,0.459517702
0.3145,0.535637307,0.459046884
0.315,0.536129518,0.458576067
0.3155,0.536621304,0.457634432
0.316,0.537112654,0.457163615
0.3165,0.537603612,0.456692798
0.317,0.538094157,0.455751163
0.3175,0.53858426,0.455280346
0.318,0.539073973,0.454809529
0.3185,0.539563289,0.453867894
0.319,0.540052151,0.453397077
0.3195,0.540540626,0.452926259
0.32,0.541028714,0.452455442
0.3205,0.541516352,0.451513807
0.321,0.542003595,0.45104299
0.3215,0.542490453,0.450572173
0.322,0.542976887,0.449630538
0.3225,0.543462905,0.449159721
0.323,0.54394854,0.448688903
0.3235,0.544433781,0.447747269
0.324,0.54491858,0.447276451
0.3245,0.545402999,0.446805634
0.325,0.545887037,0.446334817
0.3255,0.546370647,0.445393182
0.326,0.546853856,0.444922365
0.3265,0.547336686,0.444451548
0.327,0.547819129,0.443509913
0.3275,0.548301135,0.443039096
0.328,0.548782764,0.442568278
0.3285,0.549264016,0.442097461
0.329,0.549744861,0.441155826
0.3295,0.550225295,0.440685009
0.33,0.550705355,0.440214192
0.3305,0.551185041,0.439743374
0.331,0.551664305,0.43880174
0.3315,0.552143179,0.438330922
0.332,0.552621681,0.437860105
0.3325,0.553099811,0.437389288
0.333,0.553577513,0.436447653
0.3335,0.554054838,0.435976836
0.334,0.554531792,0.435506019
0.3345,0.555008377,0.435035201
0.335,0.555484535,0.434093567
0.3355,0.555960321,0.433622749
0.336,0.55643574,0.433151932
0.3365,0.55691079,0.432681115
0.337,0.557385423,0.43173948
0.3375,0.557859681,0.431268663
0.338,0.558333574,0.430797845
0.3385,0.558807102,0.430327028
0.339,0.559280226,0.429385393
0.3395,0.559752967,0.428914576
0.34,0.560225346,0.428443759
0.3405,0.560697361,0.427972941
0.341,0.561168996,0.427031307
0.3415,0.561640231,0.42656049
0.342,0.562111105,0.426089672
0.3425,0.562581619,0.425618855
0.343,0.563051774,0.425148038
0.3435,0.563521522,0.424206403
0.344,0.563990904,0.423735586
0.3445,0.564459927,0.423264768
0.345,0.564928593,0.422793951
0.3455,0.565396892,0.421852316
0.346,0.565864791,0.421381499
0.3465,0.566332335,0.420910682
0.347,0.566799523,0.420439864
0.3475,0.567266357,0.419969047
0.348,0.567732818,0.419027412
0.3485,0.568198893,0.418556595
0.349,0.568664615,0.418085778
0.3495,0.569129984,0.417614961
0.35,0.569595001,0.417144143
0.3505,0.570059651,0.416202509
0.351,0.570523917,0.415731691
0.3515,0.570987833,0.415260874
0.352,0.571451399,0.414790057
0.3525,0.571914615,0.414319239
0.353,0.572377481,0.413377605
0.3535,0.572839954,0.412906787
0.354,0.573302079,0.41243597
0.3545,0.573763858,0.411965153
0.355,0.57422529,0.411494335
0.3555,0.574686376,0.411023518
0.356,0.575147093,0.410081883
0.3565,0.575607444,0.409611066
0.357,0.576067451,0.409140249
0.3575,0.576527114,0.408669431
0.358,0.576986434,0.408198614
0.3585,0.577445412,0.407727797
0.359,0.577904017,0.406786162
0.3595,0.578362268,0.406315345
0.36,0.578820178,0.405844528
0.3605,0.579277748,0.40537371
0.361,0.579734978,0.404902893
0.3615,0.580191868,0.404432076
0.362,0.580648398,0.403490441
0.3625,0.581104571,0.403019624
0.363,0.581560406,0.402548806
0.3635,0.582015904,0.402077989
0.364,0.582471066,0.401607172
0.3645,0.582925891,0.401136354
0.365,0.583380381,0.400665537
0.3655,0.583834498,0.399723902
0.366,0.58428828,0.399253085
0.3665,0.584741729,0.398782268
0.367,0.585194843,0.39831145
0.3675,0.585647625,0.397840633
0.368,0.586100075,0.397369816
0.3685,0.586552192,0.396898999
0.369,0.587003945,0.395957364
0.3695,0.587455365,0.395486547
0.37,0.587906455,0.395015729
0.3705,0.588357216,0.394544912
0.371,0.588807647,0.394074095
0.3715,0.589257749,0.393603277
0.372,0.589707523,0.39313246
0.3725,0.59015696,0.392190825
0.373,0.590606046,0.391720008
0.3735,0.591054807,0.391249191
0.374,0.591503241,0.390778373
0.3745,0.59195135,0.390307556
0.375,0.592399133,0.389836739
0.3755,0.592846593,0.389365921
0.376,0.593293728,0.388895104
0.3765,0.593740539,0.388424287
0.377,0.594187001,0.387482652
0.3775,0.594633138,0.387011835
0.378,0.595078953,0.386541018
0.3785,0.595524447,0.3860702
0.379,0.59596962,0.385599383
0.3795,0.596414472,0.385128566
0.38,0.596859005,0.384657748
0.3805,0.597303218,0.384186931
0.381,0.597747113,0.383716114
0.3815,0.598190676,0.382774479
0.382,0.598633908,0.382303662
0.3825,0.599076823,0.381832844
0.383,0.599519421,0.381362027
0.3835,0.599961703,0.38089121
