EPS	MSE
0.5215	0.711557837
0.522	0.71192934
0.5225	0.712300649
0.523	0.712671764
0.5235	0.713042686
0.524	0.713413391
0.5245	0.713783866
0.525	0.714154148
0.5255	0.714524238
0.526	0.714894136
0.5265	0.715263824
0.527	0.715633278
0.5275	0.716002541
0.528	0.716371614
0.5285	0.716740497
0.529	0.71710917
0.5295	0.717477611
0.53	0.717845863
0.5305	0.718213927
0.531	0.718581803
0.5315	0.718949463
0.532	0.719316899
0.5325	0.719684148
0.533	0.720051211
0.5335	0.720418088
0.534	0.720784738
0.5345	0.721151177
0.535	0.721517431
0.5355	0.721883501
0.536	0.722249387
0.5365	0.722615028
0.537	0.722980478
0.5375	0.723345746
0.538	0.723710831
0.5385	0.724075716
0.539	0.724440368
0.5395	0.724804838
0.54	0.725169127
0.5405	0.725533235
0.541	0.725897115
0.5415	0.726260792
0.542	0.72662429
0.5425	0.726987608
0.543	0.727350736
0.5435	0.727713624
0.544	0.728076335
0.5445	0.728438868
0.545	0.728801223
0.5455	0.729163349
0.546	0.729525278
0.5465	0.72988703
0.547	0.730248606
0.5475	0.730609983
0.548	0.730971134
0.5485	0.73133211
0.549	0.731692911
0.5495	0.732053539
0.55	0.732413918
0.5505	0.732774123
0.551	0.733134154
0.5515	0.733494013
0.552	0.733853646
0.5525	0.734213084
0.553	0.73457235
0.5535	0.734931445
0.554	0.735290332
0.5545	0.735649008
0.555	0.736007514
0.5555	0.73636585
0.556	0.736723992
0.5565	0.737081911
0.557	0.73743966
0.5575	0.737797242
0.558	0.738154641
0.5585	0.738511807
0.559	0.738868806
0.5595	0.739225637
0.56	0.739582294
0.5605	0.739938712
0.561	0.740294964
0.5615	0.740651051
0.562	0.741006966
0.5625	0.741362641
0.563	0.741718151
0.5635	0.742073497
0.564	0.742428673
0.5645	0.742783609
0.565	0.743138382
0.5655	0.743492992
0.566	0.743847429
0.5665	0.744201631
0.567	0.744555671
0.5675	0.74490955
0.568	0.74526325
0.5685	0.745616722
0.569	0.745970034
0.5695	0.746323186
0.57	0.74667615
0.5705	0.747028897
0.571	0.747381486
